BX322559.1,1
COL18A1,143
COL18A1-AS2,1
COL18A1-AS1,11
SLC19A1,151
LINC01694,11
AL133493.1,10
PCBP3,300
PCBP3-AS1,30
AJ011931.2,46
AJ011931.1,3
AJ239328.1,1
COL6A1,7
AP001476.1,7
AP001476.3,2
AP001476.2,5
PSMA6P3,2
AP001471.1,10
COL6A2,119
FTCD,25
SPATC1L,64
AP001468.1,6
LSS,45
AP001469.1,1
MCM3AP-AS1,22
MCM3AP,57
AP001469.2,1
AP001469.3,1
YBEY,15
C21orf58,33
PCNT,192
AP000471.1,1
DIP2A,171
DIP2A-IT1,6
S100B,8
PRMT2,81
DSTNP1,1
RPL23AP4,1
